🇨🇳󠁧󠁢󠁥󠁮潇洒MTV,#genre#
古巨基-劲歌金曲3,https://download.kstore.space/download/2863/MTV/%E5%8F%A4%E5%B7%A8%E5%9F%BA-%E5%8A%B2%E6%AD%8C%E9%87%91%E6%9B%B23%20Party%20King%EF%BC%88Live%EF%BC%89.mp4
凤凰传奇-最炫民族风,https://download.kstore.space/download/2863/MTV/%E5%87%A4%E5%87%B0%E4%BC%A0%E5%A5%87-%E6%9C%80%E7%82%AB%E6%B0%91%E6%97%8F%E9%A3%8E.mp4
凤凰传奇-山河图,https://download.kstore.space/download/2863/MTV/%E5%87%A4%E5%87%B0%E4%BC%A0%E5%A5%87-%E5%B1%B1%E6%B2%B3%E5%9B%BE%EF%BC%88Live%EF%BC%89.mp4
筷子兄弟-小苹果,https://download.kstore.space/download/2863/MTV/%E7%AD%B7%E5%AD%90%E5%85%84%E5%BC%9F-%E5%B0%8F%E8%8B%B9%E6%9E%9C.mp4
戴荃-悟空,https://download.kstore.space/download/2863/MTV/%E6%88%B4%E8%8D%83-%E6%82%9F%E7%A9%BA.mp4
毛不易-消愁,https://download.kstore.space/download/2863/MTV/%E6%AF%9B%E4%B8%8D%E6%98%93-%E6%B6%88%E6%84%81%EF%BC%88Live%EF%BC%89.mp4
迈克尔·杰克逊-Beat It,https://download.kstore.space/download/2863/MTV/Michael%20Jackson-Beat%20It.mp4
迈克尔·杰克逊-Dangerous,https://download.kstore.space/download/2863/MTV/Michael%20Jackson-Dangerous.mp4
迈克尔·杰克逊-Earth Song,https://download.kstore.space/download/2863/MTV/Michael%20Jackson-Earth%20Song-%E3%80%8A%E8%BF%88%E5%85%8B%E5%B0%94%C2%B7%E6%9D%B0%E5%85%8B%E9%80%8A%EF%BC%9A%E5%B0%B1%E6%98%AF%E8%BF%99%E6%A0%B7%E3%80%8B%E7%BA%AA%E5%BD%95%E7%89%87%E6%8F%92%E6%9B%B2.mp4
迈克尔·杰克逊-We Are The World,https://download.kstore.space/download/2863/MTV/Michael%20Jackson-We%20Are%20The%20World%EF%BC%88Demo%EF%BC%89.mp4

🇨🇳󠁧󠁢󠁥󠁮潇洒央视,#genre#
//global
CCTV-1,https://cntv.sbs/tv?auth=2310201855&id=cctv1
CCTV-2,https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV-3,https://cntv.sbs/tv?auth=2310201855&id=cctv3
CCTV-4,https://cntv.sbs/tv?auth=2310201855&id=cctv4
CCTV-5,https://cntv.sbs/tv?auth=2310201855&id=cctv5
CCTV-5+,https://cntv.sbs/tv?auth=2310201855&id=cctv5p
CCTV-6,https://cntv.sbs/tv?auth=2310201855&id=cctv6
CCTV-7,https://cntv.sbs/tv?auth=2310201855&id=cctv7
CCTV-8,https://cntv.sbs/tv?auth=2310201855&id=cctv8
CCTV-9,https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV-10,https://cntv.sbs/tv?auth=2310201855&id=cctv10
CCTV-11,https://cntv.sbs/tv?auth=2310201855&id=cctv11
CCTV-12,https://cntv.sbs/tv?auth=2310201855&id=cctv12
CCTV-13,https://cntv.sbs/tv?auth=2310201855&id=cctv13
CCTV-14,https://cntv.sbs/tv?auth=2310201855&id=cctv14
CCTV-15,https://cntv.sbs/tv?auth=2310201855&id=cctv15
CCTV-16,https://cntv.sbs/tv?auth=2310201855&id=cctv16
CCTV-164K,https://cntv.sbs/tv?auth=2310201855&id=cctv164k
CCTV-17,https://cntv.sbs/tv?auth=2310201855&id=cctv17
CCTV-4K,https://cntv.sbs/tv?auth=2310201855&id=cctv4k
CGTN,https://cntv.sbs/tv?auth=2310201855&id=cgtn
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
北京卫视,https://cntv.sbs/tv?auth=2310201855&id=bjws
东方卫视,https://cntv.sbs/tv?auth=2310201855&id=dfws
天津卫视,https://cntv.sbs/tv?auth=2310201855&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=2310201855&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=2310201855&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=2310201855&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=2310201855&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=2310201855&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=2310201855&id=nxws
甘肃卫视,https://cntv.sbs/tv?auth=2310201855&id=gsws
青海卫视,https://cntv.sbs/tv?auth=2310201855&id=qhws
陕西卫视,https://cntv.sbs/tv?auth=2310201855&id=sxws
河北卫视,https://cntv.sbs/tv?auth=2310201855&id=hbws
山西卫视,https://cntv.sbs/tv?auth=2310201855&id=sxiws
山东卫视,https://cntv.sbs/tv?auth=2310201855&id=sdws
安徽卫视,https://cntv.sbs/tv?auth=2310201855&id=ahws
河南卫视,https://cntv.sbs/tv?auth=2310201855&id=hnws
湖北卫视,https://cntv.sbs/tv?auth=2310201855&id=hubws
湖南卫视,https://cntv.sbs/tv?auth=2310201855&id=hunws
江西卫视,https://cntv.sbs/tv?auth=2310201855&id=jxws
江苏卫视,https://cntv.sbs/tv?auth=2310201855&id=jsws
浙江卫视,https://cntv.sbs/tv?auth=2310201855&id=zjws
东南卫视,https://cntv.sbs/tv?auth=2310201855&id=dnws
厦门卫视,https://cntv.sbs/tv?auth=2310201855&id=xmws
广东卫视,https://cntv.sbs/tv?auth=2310201855&id=gdws
深圳卫视,https://cntv.sbs/tv?auth=2310201855&id=szws
广西卫视,https://cntv.sbs/tv?auth=2310201855&id=gxws
云南卫视,https://cntv.sbs/tv?auth=2310201855&id=ynws
贵州卫视,https://cntv.sbs/tv?auth=2310201855&id=gzws
四川卫视,https://cntv.sbs/tv?auth=2310201855&id=scws
康巴卫视,https://cntv.sbs/tv?auth=2310201855&id=kbws
新疆卫视,https://cntv.sbs/tv?auth=2310201855&id=xjws
兵团卫视,https://cntv.sbs/tv?auth=2310201855&id=btws
西藏卫视,https://cntv.sbs/tv?auth=2310201855&id=xzws
海南卫视,https://cntv.sbs/tv?auth=2310201855&id=hinws
三沙卫视,https://cntv.sbs/tv?auth=2310201855&id=ssws
海峡卫视,https://cntv.sbs/tv?auth=2310201855&id=hxws
北京纪实科教,https://cntv.sbs/tv?auth=2310201855&id=bjjskj

哈哈炫动,https://cntv.sbs/tv?auth=2310201855&id=hhxd
欢笑剧场,https://cntv.sbs/tv?auth=2310201855&id=hxjc
都市剧场,https://cntv.sbs/tv?auth=2310201855&id=dsjc
动漫秀场,https://cntv.sbs/tv?auth=2310201855&id=dmxc
劲爆体育,https://cntv.sbs/tv?auth=2310201855&id=jbty
新视觉,https://cntv.sbs/tv?auth=2310201855&id=xsj
游戏风云,https://cntv.sbs/tv?auth=2310201855&id=yxfy
乐游,https://cntv.sbs/tv?auth=2310201855&id=qjs
魅力足球,https://cntv.sbs/tv?auth=2310201855&id=mlzq
茶频道,https://cntv.sbs/tv?auth=2310201855&id=cpd
快乐垂钓,https://cntv.sbs/tv?auth=2310201855&id=klcd
金鹰纪实,https://cntv.sbs/tv?auth=2310201855&id=jyjs
金鹰卡通,https://cntv.sbs/tv?auth=2310201855&id=jykt
嘉佳卡通,https://cntv.sbs/tv?auth=2310201855&id=jjkt
财富天下,https://cntv.sbs/tv?auth=2310201855&id=cftx
CETV1,https://cntv.sbs/tv?auth=2310201855&id=cetv1
CETV2,https://cntv.sbs/tv?auth=2310201855&id=cetv2
CETV3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV4,https://cntv.sbs/tv?auth=2310201855&id=cetv4
中国天气,https://cntv.sbs/tv?auth=2310201855&id=zgtq
看天下精选,https://cntv.sbs/tv?auth=2310201855&id=ktxjx
华语影院,https://cntv.sbs/tv?auth=2310201855&id=hyyy
电竞天堂,https://cntv.sbs/tv?auth=2310201855&id=djtt
青春动漫,https://cntv.sbs/tv?auth=2310201855&id=qcdm
星光影院,https://cntv.sbs/tv?auth=2310201855&id=xgyy
谍战剧场,https://cntv.sbs/tv?auth=2310201855&id=dzjc
全球大片,https://cntv.sbs/tv?auth=2310201855&id=qqdp
热门剧场,https://cntv.sbs/tv?auth=2310201855&id=rmjc
热门综艺,https://cntv.sbs/tv?auth=2310201855&id=rmzy
戏曲精选,https://cntv.sbs/tv?auth=2310201855&id=xqjx
健康养生,https://cntv.sbs/tv?auth=2310201855&id=jkys
百变课堂,https://cntv.sbs/tv?auth=2310201855&id=bbkt
宝宝动画,https://cntv.sbs/tv?auth=2310201855&id=bbdh
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
梨园频道,https://pi.0472.org/tv/hn.php?id=154

📺重庆频道,#genre#
//2023.10.1-Ftindy
重庆新闻,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_3.stream/chunklist.m3u8
重庆新闻,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=CQTVNewsHD
重庆新闻,https://live.goodiptv.club/api/cqyx.php?id=CQTVNewsHD
重庆影视,https://live.goodiptv.club/api/cqyx.php?id=cqyingshiHD
重庆影视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=cqyingshiHD
重庆社会与法,https://live.goodiptv.club/api/cqyx.php?id=CQTVTrendyHD
重庆时尚生活,https://live.goodiptv.club/api/cqyx.php?id=cqssgwHD
重庆文体娱乐,https://live.goodiptv.club/api/cqyx.php?id=cqwtylHD
重庆新农村,https://live.goodiptv.club/api/cqyx.php?id=cqggncHD
重庆少儿,https://live.goodiptv.club/api/cqyx.php?id=cqseHD
重庆少儿,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=cqseHD
重庆科教,https://live.goodiptv.club/api/cqyx.php?id=CQTVkejiaoHD
重庆科教,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=CQTVkejiaoHD
重庆汽摩,https://live.goodiptv.club/api/cqyx.php?id=cqcarSD
重庆汽摩,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=cqcarSD
重庆移动,https://live.goodiptv.club/api/cqyx.php?id=mryyHD
重庆移动,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=mryyHD
重庆科教,http://183.66.66.199:2345/udp/235.254.199.188:7980
重庆卫视,http://183.65.9.200:8888/udp/235.254.196.249:1268
爱看导视,https://cntv.sbs/tv/cbn.php?id=aikanHD
璧山综合,http://222.179.42.129:8181/hls1.m3u8?zzhongqd
璧山综合,http://222.179.42.129:8181/hls1.m3u8
北碚综合,http://live.xtgdw.cn:1935/live/xtzh/playlist.m3u8
北碚综合,http://222.178.181.121:12034/beibei01.m3u8
大足综合,http://218.201.85.71:3170/m3u8
大足综合,http://218.201.85.71:3170/m3u8?zzhongqd
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8?zzhongqd
铜梁综合,http://183.64.174.171:40123/ch1.m3u8
铜梁综合,http://183.64.174.171:40123/ch1.m3u8?zzhongqd
合川综合,http://125.62.24.72:8030/ch0.m3u8
合川综合,http://125.62.24.72:8030/ch0.m3u8?zzhongqd
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8?zzhongqd
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8?zzhongqd
江津新闻综合,https://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
江津新闻综合,https://live.lyg1.com/zhpd/sd/live.m3u8
江津经济生活,https://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
江津经济生活,https://hw-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
江津文化旅游,http://sdqz.chinashadt.com:2036/live/stream:3.stream/playlist.m3u8
江津文化旅游,http://222.179.155.21:1935/ch1.m3u8
万州综合,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8?zzhongqd
万州综合,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8?zzhongqd
万州科教,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8
万州科教,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8?zzhongqd
万州影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
万州三峡移民,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8?zzhongqd
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8?zzhongqd
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8?zzhongqd
武隆综合频道,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8
武隆综合频道,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8?zzhongqd
垫江综合,http://125.62.24.185:80/1.m3u8
垫江综合,http://125.62.24.185:80/1.m3u8?zzhongqd

#2023.10.17-KODI
重庆北碚综合,http://222.178.181.121:12034/beibei01.m3u8
重庆璧山综合,http://222.179.42.129:8181/hls1.m3u8
重庆大足综合,http://218.201.85.71:3170/m3u8
重庆垫江综合,http://125.62.24.185:80/1.m3u8
重庆荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
重庆万盛新闻综合,http://stream0.tv41.ru/live.m3u8
重庆万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8
重庆万州科教,http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
重庆万州科教,http://wanzhoulive.cbg.cn:8017/Cz7WPb8/800/live.m3u8
重庆万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
重庆万州三峡移民,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
重庆万州影视,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
重庆万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
重庆万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
重庆万州综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
重庆万州综合,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8
重庆武隆综合,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8
重庆移动公交,http://qxlmlive9.cbg.cn/app_2/ls_58.stream/chunklist.m3u8
重庆移动,http://qxlmlive9.cbg.cn/app_2/ls_57.stream/chunklist.m3u8
铜梁综合,http://183.64.174.171:40123/ch1.m3u8
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8
江津经济生活,http://222.179.155.21:1935/ch0.m3u8
江津文化旅游,http://222.179.155.21:1935/ch2.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8?zzhongqd
垫江综合,http://125.62.24.185/1.m3u8
垫江综合,http://125.62.24.185:80/1.m3u8?zzhongqd
大足综合,http://218.201.85.71:3170/m3u8?zzhongqd
铜梁综合,http://183.64.174.171:40123/ch1.m3u8?zzhongqd
万州综合,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8?zzhongqd
万州综合,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8?zzhongqd
万州综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8?zzhongqd
万州三峡移民,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8?zzhongqd
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8?zzhongqd
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8?zzhongqd
江津新闻,http://222.179.155.21:1935/ch1.m3u8?zzhongqd
武隆综合频道,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8?zzhongqd
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8?zzhongqd
北碚综合,http://222.178.181.121:12034/beibei01.m3u8?zzhongqd
梁平综合,https://qxlmlive9.cbg.cn/applive/lplive01/chunklist.m3u8
巫山综合,https://qxlmlive9.cbg.cn/applive/wspd001/chunklist.m3u8
永川综合,https://qxlmlive9.cbg.cn/applive/yctv01/playlist.m3u8
酋阳综合,http://qxlmlive9.cbg.cn/applive/youytv01/playlist.m3u8
忠县综合,https://qxlmlive9.cbg.cn/applive/zxtv2/chunklist.m3u8

//2023.10.1-Ftindy-其它
金鹰卡通高清,https://live.goodiptv.club/api/cqyx.php?id=jinyingSD
中国天气,https://live.goodiptv.club/api/cqyx.php?id=tianqiSD
CETV-1,https://live.goodiptv.club/api/cqyx.php?id=cetv-1SD
CETV-4,https://live.goodiptv.club/api/cqyx.php?id=cetv-4SD
生活时尚,https://live.goodiptv.club/api/cqyx.php?id=shenghuo
百姓健康,https://live.goodiptv.club/api/cqyx.php?id=jiankangSD
都市剧场高清,https://live.goodiptv.club/api/cqyx.php?id=dsjcHD
动漫秀场高清,https://live.goodiptv.club/api/cqyx.php?id=dmxcHD
魅力足球高清,https://live.goodiptv.club/api/cqyx.php?id=mlzqHD
求索纪录高清,https://live.goodiptv.club/api/cqyx.php?id=qsjlHD
游戏风云高清,https://live.goodiptv.club/api/cqyx.php?id=yxfyHD
早期教育高清,https://live.goodiptv.club/api/cqyx.php?id=zaojiaoHD
爱看导视高清,https://live.goodiptv.club/api/cqyx.php?id=aikanHD
重广融媒,https://live.goodiptv.club/api/cqyx.php?id=cqrongmei
优购物,https://live.goodiptv.club/api/cqyx.php?id=yougouwu
风尚购物,https://live.goodiptv.club/api/cqyx.php?id=fsgw
聚鲨环球精选,https://live.goodiptv.club/api/cqyx.php?id=jusha
家有购物,https://live.goodiptv.club/api/cqyx.php?id=jygw
央广购物,https://live.goodiptv.club/api/cqyx.php?id=yggw
证券服务,https://live.goodiptv.club/api/cqyx.php?id=jiazheng
书画,https://live.goodiptv.club/api/cqyx.php?id=shuhua
新动漫,https://live.goodiptv.club/api/cqyx.php?id=dongman
国学频道,https://live.goodiptv.club/api/cqyx.php?id=guoxue
优优宝贝,https://live.goodiptv.club/api/cqyx.php?id=youxi
中华特产,https://live.goodiptv.club/api/cqyx.php?id=techan
环球奇观,https://live.goodiptv.club/api/cqyx.php?id=car
生态环境,https://live.goodiptv.club/api/cqyx.php?id=shengtai
四海钓鱼,https://live.goodiptv.club/api/cqyx.php?id=diaoyu
发现之旅,https://live.goodiptv.club/api/cqyx.php?id=faxian
车迷,https://live.goodiptv.club/api/cqyx.php?id=doxtv
法治天地,https://live.goodiptv.club/api/cqyx.php?id=fazhi
金色学堂,https://live.goodiptv.club/api/cqyx.php?id=jinse
收藏天下,https://live.goodiptv.club/api/cqyx.php?id=soucang
财富天下,https://live.goodiptv.club/api/cqyx.php?id=caifu
天元围棋,https://live.goodiptv.club/api/cqyx.php?id=weiqi
先锋乒羽,https://live.goodiptv.club/api/cqyx.php?id=xianfeng
环球旅游,https://live.goodiptv.club/api/cqyx.php?id=huanqiulvyou
摄影频道,https://live.goodiptv.club/api/cqyx.php?id=sheying
东方财经高清,https://live.goodiptv.club/api/cqyx.php?id=dfcj

//2023.10.1-Ftindy-央视@卫视
CCTV1综合高清,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV2财经高清,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV3综艺高清,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV4中文国际高清,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV5体育高清,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV5P高清,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV6电影高清,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV7国防军事高清,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV8电视剧高清,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV9纪录高清,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV10科教高清,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11戏曲高清,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV12社会与法高清,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13新闻高清,https://live.goodiptv.club/api/cqyx.php?id=CCTVNewsHD
CCTV14少儿高清,https://live.goodiptv.club/api/cqyx.php?id=cctvseHD
CCTV15音乐高清,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV16奥林匹克高清,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV17农业农村高清,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD
CGTN,https://live.goodiptv.club/api/cqyx.php?id=cgtnSD
第一剧场高清,https://live.goodiptv.club/api/cqyx.php?id=diyijuchangHD
风云剧场高清,https://live.goodiptv.club/api/cqyx.php?id=fyjcHD
兵器科技高清,https://live.goodiptv.club/api/cqyx.php?id=bqkjHD
怀旧剧场高清,https://live.goodiptv.club/api/cqyx.php?id=hjjcHD
风云音乐高清,https://live.goodiptv.club/api/cqyx.php?id=fyyyHD
央视台球高清,https://live.goodiptv.club/api/cqyx.php?id=ystqHD
风云足球高清,https://live.goodiptv.club/api/cqyx.php?id=fyzqHD
央视文化精品高清,https://live.goodiptv.club/api/cqyx.php?id=yswhHD
高尔夫网球高清,https://live.goodiptv.club/api/cqyx.php?id=golfHD
女性时尚,https://live.goodiptv.club/api/cqyx.php?id=nvxing
中学生,https://live.goodiptv.club/api/cqyx.php?id=qicai
老故事,https://live.goodiptv.club/api/cqyx.php?id=gushi

重庆卫视高清,https://live.goodiptv.club/api/cqyx.php?id=chongqingHD
江苏卫视高清,https://live.goodiptv.club/api/cqyx.php?id=jiangsuHD
北京卫视高清,https://live.goodiptv.club/api/cqyx.php?id=beijingHD
浙江卫视高清,https://live.goodiptv.club/api/cqyx.php?id=zhejiangHD
东方卫视高清,https://live.goodiptv.club/api/cqyx.php?id=shanghaiHD
深圳卫视高清,https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD
辽宁卫视高清,https://live.goodiptv.club/api/cqyx.php?id=liaoningHD
天津卫视高清,https://live.goodiptv.club/api/cqyx.php?id=tianjinHD
贵州卫视高清,https://live.goodiptv.club/api/cqyx.php?id=guizhouHD
四川卫视高清,https://live.goodiptv.club/api/cqyx.php?id=sichuanHD
云南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=yunnanSD
东南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=dongnanHD
黑龙江卫视高清,https://live.goodiptv.club/api/cqyx.php?id=heilongjiangHD
安徽卫视高清,https://live.goodiptv.club/api/cqyx.php?id=anhuiSD
河北卫视高清,https://live.goodiptv.club/api/cqyx.php?id=hebeiSD
江西卫视高清,https://live.goodiptv.club/api/cqyx.php?id=jiangxiHD
湖北卫视高清,https://live.goodiptv.club/api/cqyx.php?id=hubeiSD
海南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=hainanSD
吉林卫视高清,https://live.goodiptv.club/api/cqyx.php?id=jilinHD
广西卫视高清,https://live.goodiptv.club/api/cqyx.php?id=guangxiHD
内蒙古卫视,https://live.goodiptv.club/api/cqyx.php?id=neimengkuSD
湖南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=hunanHD
广东卫视高清,https://live.goodiptv.club/api/cqyx.php?id=guangdongHD
河南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=henanHD
山西卫视,https://live.goodiptv.club/api/cqyx.php?id=shanxiSD
兵团卫视,https://live.goodiptv.club/api/cqyx.php?id=bingtuanSD
宁夏卫视,https://live.goodiptv.club/api/cqyx.php?id=ningxia
三沙卫视,https://live.goodiptv.club/api/cqyx.php?id=sanshaSD
青海卫视,https://live.goodiptv.club/api/cqyx.php?id=qinghaiSD
山东教育卫视,https://live.goodiptv.club/api/cqyx.php?id=sdjiaoyuSD
新疆卫视,https://live.goodiptv.club/api/cqyx.php?id=xinjiangSD
西藏卫视,https://live.goodiptv.club/api/cqyx.php?id=xizangSD

🐼四川频道,#genre#
四川经济,https://cntv.sbs/tv/v6.php?id=SCTV-2-H265
四川文化旅游,https://cntv.sbs/tv/v6.php?id=SCTV-3-H265
四川新闻,https://cntv.sbs/tv/v6.php?id=SCTV-4H265
四川影视文艺,https://cntv.sbs/tv/v6.php?id=SCTV-5-scysH265
四川妇女儿童,https://cntv.sbs/tv/v6.php?id=SCTV-7-
四川科教,https://cntv.sbs/tv/v6.php?id=SCTV-ggSCTV-8
四川乡村,https://cntv.sbs/tv/v6.php?id=SCTV-kjSCTV-9-
四川峨嵋电影,https://cntv.sbs/tv/v6.php?id=emdygqH265
成都新闻综合,https://cntv.sbs/tv/v6.php?id=CDTV-1
成都经济资讯,https://cntv.sbs/tv/v6.php?id=CDTV-2
成都都市生活,https://cntv.sbs/tv/v6.php?id=CDTV-3
